Tên sản phẩm,Link sản phẩm,Giá,Số đã bán,Doanh thu,Ngành hàng,Thương hiệu,Giá phân loại cao nhất,Giá phân loại nhỏ nhất,Link shop,Mã sản phẩm,Ngành hàng cấp 1,Ngành hàng cấp 2,Ngành hàng cấp 3,Ngày bắt đầu bán,Thumbnail,Tên shop,Tổng doanh số,Tổng số đánh giá,Tổng số đã bán
 Điện thoại Apple iPhone 16 Pro Max 256GB ,https://shopee.vn/product/88201679/29560903606,34999000,19493,620507070000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,34999000,31790000,https://shopee.vn/shop/88201679,1__29560903606__88201679,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2024-09-11,https://cf.shopee.vn/file/sg-11134301-7rdvs-m01bhb1twkvn33,Apple Flagship Store,2517960453000,19489,77198
 Điện thoại Apple iPhone 17 Pro Max 256GB ,https://shopee.vn/product/88201679/27041370670,37990000,6746,256968031000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,39999000,37990000,https://shopee.vn/shop/88201679,1__27041370670__88201679,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2025-09-10,https://cf.shopee.vn/file/vn-11134207-820l4-mehipkbxm1vq70,Apple Flagship Store,376944213000,2150,9904
 Apple iPhone 16 Pro Max 256GB Chính hãng VN A ,https://shopee.vn/product/308461157/26711038214,31990000,5164,164260160000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,38090000,31790000,https://shopee.vn/shop/308461157,1__26711038214__308461157,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2024-09-12,https://cf.shopee.vn/file/vn-11134207-7r98o-m02u4mx7qtn3e1,Viettel Store - AAR,1383441950000,11143,42249
 Apple iPhone 17 Pro Max 256GB Chính hãng ,https://shopee.vn/product/308461157/42568221380,38990000,3745,146191530000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,60000000,38690000,https://shopee.vn/shop/308461157,1__42568221380__308461157,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2025-09-09,https://cf.shopee.vn/file/vn-11134207-820l4-megm9h2a4f7k62,Viettel Store - AAR,172802200000,1066,4428
  CHỈ 07.01-14.01 GIÁ TỐT MUA NGAY-SLCH  Thùng 24 Chai Sữa Nước Ensure Abbott Hương Vani 237ml  bao bì thay đổi theo từng đợt nhập hàng  ,https://www.lazada.vn/products/ensure-i1195244981.html,870000,121007,107838437000,Bách Hoá - Thực Phẩm->Sữa - trứng,Ensure,1500000,747000,https://www.lazada.vn/shop/Ensure,2__1195244981,Bách Hoá - Thực Phẩm,Sữa - trứng,,2021-02-22,https://filebroker-cdn.lazada.vn/kf/Sd769815c1f7a44a6b5d25bec769c99dfX.jpg,Ensure,665631674000,74689,725901
"  SIÊU MỀM MỊN - SIÊU TIẾT KIỆM  Thùng 6 Bịch Khăn Giấy Rút Đáy Tiểu Hạ TOP GIA 4 Lớp Mềm Mịn Thành Phần Bột Gỗ Tự Nhiên Thân Thiện An Toàn Khăn Giấy Vệ Sinh 1000 tờ,4 lớp Tặng 2 móc treo tiện Giấy Vệ Sinh giấy rút  ĐẠT QUY CHUẨN CỦA BỘ CÔNG THƯƠNG VTG86 ",https://www.tiktok.com/view/product/1731773686751724630,128999,674297,86984067662,Nhà Cửa - Đời Sống->Dụng cụ chăm sóc nhà cửa,Top Gia,129000,128999,https://short.metric.vn/shop/8__7494634498017298518,8__1731773686751724630,Nhà Cửa - Đời Sống,Dụng cụ chăm sóc nhà cửa,,2025-06-26,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/23fca74867d44ff4b72771195a9b50ef~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=607f11de&idc=my&from=1826719393,TOPGIAHN,157370661739,69123,1220097
 iPhone 16 Pro Max 256GB Chính hãng VN A  Viettel Store  ,https://www.tiktok.com/view/product/1730877232592947804,31210000,2829,86970640000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,31210000,30940000,https://short.metric.vn/shop/8__7495793015233940060,8__1730877232592947804,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,1970-01-01,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/782eb1af50d842be9f036b118319ca36~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=607f11de&idc=my2&from=1826719393,Viettel Store - AAR,287567140000,1073,8856
 iPhone 17 Pro Max 256GB Chính Hãng ,https://shopee.vn/product/288286284/40818366007,38990000,1882,73514621000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,42990000,38990000,https://shopee.vn/shop/288286284,1__40818366007__288286284,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2025-09-10,https://cf.shopee.vn/file/vn-11134207-820l4-megx9gfvhretd2,ShopDunk Official Store,87094595000,503,2230
 Điện thoại Apple iPhone 17 Pro 256GB ,https://shopee.vn/product/88201679/42618391133,34999000,1997,70002154000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,36999000,34990000,https://shopee.vn/shop/88201679,1__42618391133__88201679,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2025-09-10,https://cf.shopee.vn/file/vn-11134207-820l4-mei4dliqvojlcc,Apple Flagship Store,97826359000,592,2792
 iPhone 16 Pro Max 256GB Chính Hãng VN A ,https://shopee.vn/product/288286284/26461144737,36849000,2063,65763029000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,38190000,31730000,https://shopee.vn/shop/288286284,1__26461144737__288286284,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2024-09-13,https://cf.shopee.vn/file/vn-11134207-820l4-mfulmzs3iznx2d,ShopDunk Official Store,770168410000,5996,23328
 iPad  A16  11 inch Wi-Fi 128GB ,https://shopee.vn/product/288286284/28279994666,9290000,6864,65502500000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,13000000,9290000,https://shopee.vn/shop/288286284,1__28279994666__288286284,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2025-03-18,https://cf.shopee.vn/file/vn-11134207-820l4-meellf9kaj9gcc,ShopDunk Official Store,152650450000,3553,15842
 Insta360 | Máy Quay Hành Động Chống Rung AI Pro 2 ,https://www.lazada.vn/products/brand-super-deal-i3246967038.html,16657000,3600,63404505000,Máy Ảnh & Máy Quay Phim->Máy quay,Insta360,17889000,16657000,https://www.lazada.vn/shop/Brand Super Deal,2__3246967038,Máy Ảnh & Máy Quay Phim,Máy quay,,,https://filebroker-cdn.lazada.vn/kf/S0ced300499254d7f98e25619b6e9fc32D.png,Brand Super Deal,95250105000,315,5400
 Apple iPhone 17 Pro Max 256GB Chính hãng  Viettel Store  ,https://www.tiktok.com/view/product/1732213113958467164,37760000,1504,58303010000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,39240000,37760000,https://short.metric.vn/shop/8__7495793015233940060,8__1732213113958467164,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,1970-01-01,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/6e8f5f4792f543018b8ef2ac2bda8bba~tplv-aphluv4xwc-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=607f11de&idc=my&from=1826719393,Viettel Store - AAR,80540660000,220,2085
 Apple iPhone 15 128GB Chính hãng VN A ,https://shopee.vn/product/308461157/21684104015,17790000,3249,56668830000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,24190000,16030000,https://shopee.vn/shop/308461157,1__21684104015__308461157,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2023-09-13,https://cf.shopee.vn/file/vn-11134207-7r98o-lllv9z75s0jg07,Viettel Store - AAR,141687067000,1952,8220
 Điện thoại Apple iPhone 15 128GB ,https://shopee.vn/product/88201679/18093055535,17890000,3115,54490830000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,22999000,16030000,https://shopee.vn/shop/88201679,1__18093055535__88201679,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,2023-09-13,https://cf.shopee.vn/file/vn-11134207-7r98o-llm05p5nkerg1c,Apple Flagship Store,358508998000,4711,18913
 Điện thoại Apple iPhone 17 Pro Max - Hàng Chính Hãng ZP A ,https://www.lazada.vn/products/apple-flagship-store-i3179765981.html,37990000,1258,48792832000,Điện Thoại & Máy Tính Bảng->Điện Thoại - Máy Tính Bảng,Apple,52999000,37490000,https://www.lazada.vn/shop/Apple Flagship Store,2__3179765981,Điện Thoại & Máy Tính Bảng,Điện Thoại - Máy Tính Bảng,,,https://vn-live-01.slatic.net/p/349d8f1bc82d7446d6c5f31f131a630b.jpg,Apple Flagship Store,57559393000,272,1482
